Year,FIPS,spatmax_prev,spatmean_prev
2011,4012,33.96840937927728,15.347084241518605
2011,4013,21.79753877355674,17.33796141924966
2011,4015,21.79753877355674,15.682434635461869
2011,4017,18.65776069556132,16.02426276570643
2011,4019,18.272349367319904,14.887137835035375
2011,4021,20.912755046349805,18.508321711317432
2011,4023,20.912755046349805,19.592552206834853
2011,4025,33.96840937927728,20.492846075682827
2011,4027,20.912755046349805,14.198981359673901
2011,5001,23.40686991632044,23.40686991632044
2011,5003,,
2011,5005,,
2011,5007,6.894344175510304,6.894344175510304
2011,5009,,
2011,5011,,
2011,5013,,
2011,5015,14.0056655175997,14.0056655175997
2011,5017,,
2011,5019,,
2011,5021,,
2011,5023,14.129657267500903,14.129657267500903
2011,5025,,
2011,5027,,
2011,5029,16.193283026200735,15.161470146850819
2011,5031,,
2011,5033,30.66688683918756,16.231654347224435
2011,5035,14.552996623704782,12.547750761434411
2011,5037,,
2011,5039,,
2011,5041,,
2011,5043,,
2011,5045,23.40686991632044,18.888319007195093
2011,5047,20.985342545360627,16.059537286168037
2011,5049,,
2011,5051,,
2011,5053,14.369768098069748,14.369768098069748
2011,5055,13.479464554192631,13.479464554192631
2011,5057,,
2011,5059,29.15937682246105,29.15937682246105
2011,5061,,
2011,5063,,
2011,5065,,
2011,5067,13.479464554192631,13.479464554192631
2011,5069,23.40686991632044,18.888319007195093
2011,5071,16.193283026200735,16.193283026200735
2011,5073,10.258251481035057,10.258251481035057
2011,5075,13.479464554192631,13.479464554192631
2011,5077,,
2011,5079,,
2011,5081,,
2011,5083,16.193283026200735,13.66350752658809
2011,5085,14.369768098069748,14.249712682785326
2011,5087,20.985342545360627,13.96178407949021
2011,5089,,
2011,5091,10.258251481035057,9.443375708160655
2011,5093,65.58810668998689,31.206855955961434
2011,5095,,
2011,5097,29.15937682246105,29.15937682246105
2011,5099,,
2011,5101,16.193283026200735,16.193283026200735
2011,5103,,
2011,5105,29.15937682246105,19.2196007293439
2011,5107,,
2011,5109,,
2011,5111,13.479464554192631,13.479464554192631
2011,5113,,
2011,5115,,
2011,5117,23.40686991632044,23.40686991632044
2011,5119,23.40686991632044,18.76826359191067
2011,5121,,
2011,5123,,
2011,5125,29.15937682246105,21.7645724602654
2011,5127,11.133732026975444,11.133732026975444
2011,5129,16.193283026200735,16.193283026200735
2011,5131,30.66688683918756,25.826114692274093
2011,5133,,
2011,5135,,
2011,5137,,
2011,5139,,
2011,5141,16.193283026200735,15.161470146850819
2011,5143,20.985342545360627,17.495504031480163
2011,5145,23.40686991632044,18.76826359191067
2011,5147,,
2011,5149,29.15937682246105,22.676329924330894
2011,6001,21.11184933590815,13.569270691009388
2011,6003,32.51151449471688,27.825770980681654
2011,6005,26.328491816227128,21.03143935154542
2011,6007,18.99996833338611,18.99996833338611
2011,6009,32.51151449471688,24.426936158801706
