,Year,fipscounty,spatmax,spatmean
121,2011,5021,37.13848010770159,37.13848010770159
122,2011,5023,12.033487476577676,12.033487476577676
123,2011,5025,,
124,2011,5027,,
125,2011,5029,16.04338130304343,14.038434389810552
126,2011,5031,,
127,2011,5033,14.159069277179512,11.65738459112468
128,2011,5035,10.587238848108417,9.560533165345133
129,2011,5037,,
130,2011,5039,,
131,2011,5041,,
132,2011,5043,,
133,2011,5045,10.613540288740069,10.613540288740069
134,2011,5047,30.67286581428387,22.41596754573169
135,2011,5049,,
136,2011,5051,13.695378266347715,13.695378266347715
137,2011,5053,13.695378266347715,12.154459277543893
138,2011,5055,13.222804251640136,13.222804251640136
139,2011,5057,,
140,2011,5059,21.621844240352537,17.658611253350127
141,2011,5061,,
142,2011,5063,,
143,2011,5065,,
144,2011,5067,13.222804251640136,13.222804251640136
145,2011,5069,10.613540288740069,10.613540288740069
146,2011,5071,16.04338130304343,16.04338130304343
147,2011,5073,,
148,2011,5075,13.222804251640136,13.222804251640136
149,2011,5077,,
150,2011,5079,,
151,2011,5081,,
152,2011,5083,16.04338130304343,15.10122529011147
153,2011,5085,12.033487476577676,11.323513882658872
154,2011,5087,30.67286581428387,17.377743062269293
155,2011,5089,,
156,2011,5091,11.28180789026302,11.28180789026302
157,2011,5093,13.222804251640136,11.905021549874277
158,2011,5095,,
159,2011,5097,21.621844240352537,21.621844240352537
160,2011,5099,,
161,2011,5101,16.04338130304343,16.04338130304343
162,2011,5103,,
163,2011,5105,21.621844240352537,14.4910625680045
164,2011,5107,,
165,2011,5109,,
166,2011,5111,13.222804251640136,13.222804251640136
167,2011,5113,31.60306549735324,31.60306549735324
168,2011,5115,,
169,2011,5117,,
170,2011,5119,13.695378266347715,12.864432871462697
171,2011,5121,,
172,2011,5123,,
173,2011,5125,21.621844240352537,16.117692264546303
174,2011,5127,31.60306549735324,22.881067387266377
175,2011,5129,16.04338130304343,16.04338130304343
176,2011,5131,31.60306549735324,31.137965655818554
177,2011,5133,,
178,2011,5135,,
