,Year,fipscounty,spatmax,spatmean
148,2010,05075,13.479464554192631,13.479464554192631
149,2010,05077,,
150,2010,05079,,
151,2010,05081,,
152,2010,05083,16.193283026200735,13.66350752658809
153,2010,05085,14.369768098069748,14.249712682785326
154,2010,05087,20.985342545360627,13.96178407949021
155,2010,05089,,
156,2010,05091,10.258251481035057,9.443375708160655
157,2010,05093,65.58810668998689,31.206855955961434
158,2010,05095,,
159,2010,05097,29.15937682246105,29.15937682246105
160,2010,05099,,
161,2010,05101,16.193283026200735,16.193283026200735
162,2010,05103,,
163,2010,05105,29.15937682246105,19.2196007293439
164,2010,05107,,
165,2010,05109,,
166,2010,05111,13.479464554192631,13.479464554192631
167,2010,05113,,
168,2010,05115,,
169,2010,05117,23.40686991632044,23.40686991632044
170,2010,05119,23.40686991632044,18.76826359191067
171,2010,05121,,
