log_Overdose_Rate_per_100k,Pct_Age_lt_18,log_Pct_Black,Potential_Years_Lost,Pct_Uninsured,log_PrimCarePhys_per_100k,Pct_Child_in_1ParentHH,Pct_Poverty,log_Spatial_Mean
2.962363816328862,23.4,0.8329091229351039,5865.3,18.6,4.746669748261791,22.6,10.3,2.8591761701904304
2.2560153816243096,30.1,1.916922612182061,7691.7,22.8,4.662495252607361,36.0,25.8,2.426378080869785
3.7447186147122373,20.2,0.7884573603642703,8943.6,21.4,4.827513417131532,37.3,21.1,3.1436965994885835
2.5641926872868934,30.8,1.6486586255873816,7072.9,23.2,3.730501128804756,35.0,26.0,2.485119722199844
2.8752039295014726,31.0,2.0149030205422647,8609.0,21.8,4.417635062141249,35.4,24.6,2.2675619133659937
2.2088020526998755,27.6,2.2082744135228043,7853.0,24.5,4.12552017969055,29.7,21.2,2.5083823915047994
3.9676134450301914,22.1,1.2237754316221157,10039.8,18.8,4.399375273008495,33.2,23.0,2.5763036355681432
3.6378938993810688,18.5,2.3978952727983707,7948.7,16.9,4.321480134805848,35.5,19.3,3.367318877411101
1.9339441334989642,25.4,2.33214389523559,6008.7,28.0,4.728272383122075,33.2,18.4,2.4614617176686524
2.7532764112074086,29.4,1.7227665977411035,7418.1,28.2,4.110873864173311,29.1,23.6,2.7747395654628324
2.108307517314504,20.4,1.410986973710262,4003.7,17.8,5.262171919911683,23.3,9.4,2.699362164524455
2.966139205765879,22.4,0.6418538861723947,8681.1,24.5,5.058790335983303,37.5,20.2,3.448706819567755
2.5712414642538275,32.0,1.62924053973028,7466.0,22.0,4.472780997942346,31.6,26.8,2.5057639368444597
2.4105542090389176,27.5,1.5040773967762742,5338.1,30.5,4.616110126026426,29.6,17.1,2.626133527814572
2.567650780799868,23.4,1.1314021114911006,5457.2,21.6,4.863680881139593,23.2,12.0,3.078769513237254
2.653034557546118,19.0,0.47000362924573563,5905.8,20.2,4.798266815950004,27.2,12.1,2.8754922225830564
2.3455825843764133,25.0,1.0986122886681098,4692.1,23.9,4.927253685157205,24.6,13.0,2.2205215904394837
1.9851444623010754,24.0,1.0296194171811581,5043.6,16.6,5.046002437933547,21.5,8.5,2.926812933488084
2.4284429654056625,29.0,2.0541237336955462,7061.7,29.4,4.151039905898646,27.4,16.9,2.3518539841920134
2.696772484985309,25.8,2.4423470353692043,7193.5,19.7,4.810557015713042,33.4,17.7,2.726520239021898
1.6816323319825872,29.8,2.3513752571634776,7675.1,26.2,4.421247347827163,31.4,19.4,2.790579204628059
2.581448653035634,24.2,1.8870696490323797,5677.1,22.3,4.782479200958502,28.3,15.2,2.4501636360787127
3.1725112805498368,14.4,2.0412203288596382,5792.9,18.7,5.518656990529513,28.5,13.8,2.2959380505609794
2.9573529015998177,30.0,2.1972245773362196,7538.6,20.3,4.519612297626445,32.1,18.2,2.9330951729690384
