State,County,Year,Unemployment_rate
CO,"Cheyenne County, CO",2000,2.5
CO,"Clear Creek County, CO",2000,2.7
CO,"Conejos County, CO",2000,5.0
CO,"Costilla County, CO",2000,7.4
CO,"Crowley County, CO",2000,5.3
CO,"Custer County, CO",2000,3.4
CO,"Delta County, CO",2000,3.7
CO,"Denver County/city, CO",2000,3.0
CO,"Dolores County, CO",2000,5.5
CO,"Douglas County, CO",2000,2.0
CO,"Eagle County, CO",2000,2.4
CO,"Elbert County, CO",2000,2.2
CO,"El Paso County, CO",2000,2.9
CO,"Fremont County, CO",2000,3.9
CO,"Garfield County, CO",2000,2.7
CO,"Gilpin County, CO",2000,2.5
CO,"Grand County, CO",2000,2.5
CO,"Gunnison County, CO",2000,2.7
CO,"Hinsdale County, CO",2000,2.0
CO,"Huerfano County, CO",2000,5.5
CO,"Jackson County, CO",2000,2.8
CO,"Jefferson County, CO",2000,2.3
CO,"Kiowa County, CO",2000,3.1
CO,"Kit Carson County, CO",2000,2.5
CO,"Lake County, CO",2000,3.3
CO,"La Plata County, CO",2000,2.9
CO,"Larimer County, CO",2000,2.5
CO,"Las Animas County, CO",2000,4.1
CO,"Lincoln County, CO",2000,2.7
CO,"Logan County, CO",2000,2.8
CO,"Mesa County, CO",2000,3.3
CO,"Mineral County, CO",2000,3.6
CO,"Moffat County, CO",2000,3.5
CO,"Montezuma County, CO",2000,4.1
CO,"Montrose County, CO",2000,3.6
CO,"Morgan County, CO",2000,3.0
CO,"Otero County, CO",2000,4.3
CO,"Ouray County, CO",2000,2.6
CO,"Park County, CO",2000,2.5
CO,"Phillips County, CO",2000,2.6
CO,"Pitkin County, CO",2000,2.7
CO,"Prowers County, CO",2000,2.9
CO,"Pueblo County, CO",2000,3.9
CO,"Rio Blanco County, CO",2000,2.9
CO,"Rio Grande County, CO",2000,4.5
CO,"Routt County, CO",2000,2.5
CO,"Saguache County, CO",2000,5.5
CO,"San Juan County, CO",2000,4.5
CO,"San Miguel County, CO",2000,3.0
CO,"Sedgwick County, CO",2000,2.6
CO,"Summit County, CO",2000,2.2
CO,"Teller County, CO",2000,2.9
CO,"Washington County, CO",2000,2.5
CO,"Weld County, CO",2000,2.7
CO,"Yuma County, CO",2000,2.6
CT,Connecticut,2000,2.1
CT,"Fairfield County, CT",2000,1.9
CT,"Hartford County, CT",2000,2.3
CT,"Litchfield County, CT",2000,1.8
CT,"Middlesex County, CT",2000,1.9
CT,"New Haven County, CT",2000,2.3
CT,"New London County, CT",2000,2.1
CT,"Tolland County, CT",2000,1.7
CT,"Windham County, CT",2000,2.3
DE,Delaware,2000,3.6
DE,"Kent County, DE",2000,3.9
DE,"New Castle County, DE",2000,3.5
DE,"Sussex County, DE",2000,3.7
DC,District of Columbia,2000,5.7
DC,District of Columbia,2000,5.7
FL,Florida,2000,3.8
FL,"Alachua County, FL",2000,3.0
FL,"Baker County, FL",2000,3.0
FL,"Bay County, FL",2000,4.7
FL,"Bradford County, FL",2000,3.8
FL,"Brevard County, FL",2000,3.7
FL,"Broward County, FL",2000,3.7
FL,"Calhoun County, FL",2000,4.8
FL,"Charlotte County, FL",2000,3.7
FL,"Citrus County, FL",2000,4.7
FL,"Clay County, FL",2000,3.1
FL,"Collier County, FL",2000,3.8
FL,"Columbia County, FL",2000,4.0
FL,"DeSoto County, FL",2000,4.5
FL,"Dixie County, FL",2000,4.5
FL,"Duval County, FL",2000,3.4
FL,"Escambia County, FL",2000,4.1
FL,"Flagler County, FL",2000,3.6
FL,"Franklin County, FL",2000,4.0
FL,"Gadsden County, FL",2000,4.0
FL,"Gilchrist County, FL",2000,3.6
FL,"Glades County, FL",2000,4.8
FL,"Gulf County, FL",2000,6.1
FL,"Hamilton County, FL",2000,5.4
FL,"Hardee County, FL",2000,6.0
