fips,jail_pop,urbanicity,year
12057,3221.0,4.0,2011
12059,83.71,1.0,2011
12061,478.0,2.0,2011
12063,220.0,1.0,2011
12065,55.0,2.0,2011
12067,22.0,1.0,2011
12069,956.5,3.0,2011
12071,1735.0,2.0,2011
12073,983.0,2.0,2011
12075,184.0,1.0,2011
12077,45.57,1.0,2011
12079,60.57,1.0,2011
12081,1054.0,2.0,2011
12083,1663.0,2.0,2011
12085,589.0,2.0,2011
12086,5500.0,4.0,2011
12087,530.0,1.0,2011
12089,233.86,3.0,2011
12091,486.0,2.0,2011
12093,247.0,1.0,2011
12095,3539.0,4.0,2011
12097,965.0,3.0,2011
12099,2652.0,3.0,2011
12101,1373.0,3.0,2011
12103,3098.0,4.0,2011
12105,2126.0,2.0,2011
12107,312.0,1.0,2011
12109,502.0,3.0,2011
12111,1201.0,2.0,2011
12113,497.29,2.0,2011
12115,929.0,2.0,2011
12117,894.0,3.0,2011
12119,210.29,2.0,2011
12121,172.86,1.0,2011
12123,111.0,1.0,2011
12125,21.57,1.0,2011
12127,1378.0,2.0,2011
12129,262.0,2.0,2011
12131,215.0,2.0,2011
12133,96.43,1.0,2011
13001,70.25,1.0,2011
13003,2.0,1.0,2011
13005,57.29,1.0,2011
13007,10.0,2.0,2011
13009,187.43,1.0,2011
13011,40.86,1.0,2011
13013,263.0,3.0,2011
13015,654.0,3.0,2011
13017,104.56,1.0,2011
13019,66.0,1.0,2011
13021,949.0,2.0,2011
13023,46.75,1.0,2011
13025,68.0,2.0,2011
13027,80.0,2.0,2011
13029,47.5,2.0,2011
13031,257.0,1.0,2011
13033,127.0,2.0,2011
13035,104.86,3.0,2011
13037,20.0,1.0,2011
13039,121.25,1.0,2011
13043,30.71,1.0,2011
13045,533.43,3.0,2011
13047,191.25,2.0,2011
13049,,1.0,2011
13051,1783.0,2.0,2011
13053,,2.0,2011
13055,64.86,1.0,2011
13057,573.0,3.0,2011
13059,647.0,2.0,2011
13061,7.13,1.0,2011
13063,2093.0,3.0,2011
13065,13.0,1.0,2011
13067,2402.57,3.0,2011
13069,175.5,1.0,2011
13071,452.0,1.0,2011
13073,246.29,2.0,2011
13075,93.57,1.0,2011
13077,532.14,3.0,2011
13079,11.71,2.0,2011
13081,182.0,1.0,2011
13083,53.29,2.0,2011
13085,171.0,3.0,2011
13087,440.0,1.0,2011
13089,3326.0,3.0,2011
13091,80.89,1.0,2011
13093,72.86,1.0,2011
13095,922.0,2.0,2011
13097,820.0,3.0,2011
13099,48.43,1.0,2011
13101,21.11,2.0,2011
13103,410.0,2.0,2011
13105,62.0,1.0,2011
13107,98.0,1.0,2011
13109,21.71,1.0,2011
13111,61.86,1.0,2011
13113,248.0,3.0,2011
13115,1113.0,2.0,2011
13117,173.0,3.0,2011
13119,75.29,1.0,2011
13121,3116.14,4.0,2011
